,comment
3,"Man darf nicht vergessen, dass Prinz Puma 31 Kills solo vs squad gemacht hat"
4,"Auch einfach der Bodenständige Hase aktiviert, indem er den econemy-Modus reinhaut"
5,ApoRed ein Leben ziwschen Highclass und Insolvenz
6,"Jetzt wo die WM fast fertig ist bringt Red den Katar Content, dieser andere BrainMove!"
7,Niemals vergessen dass der Main Character Qatar mit seinen Millionen unterstützt
8,"Ihr dürft nicht vergessen, dass Red immer korrekt zu Monte war."
9,"Mann darf trotzdem nicht vergessen, das Red der Militanten Veganerin in vielen Punkten zugestimmt hat, und trotzdem sich Fleisch gönnt ."
10,Ich wäre einfach mit Sechstwagen auf entspannt hingesneaked
11,"Wie kann RED sich die Reise nach Japan und Katar hintereinander leisten, wenn er angeblich insolvent ist?"
12,Lol der hat wirklich ein Katar-Placement angenommen
13,Apo Abi Danke für denn Geilen Content️
14,"Das ist schön. Noch schöner wäre es, wenn die Blitzbirne ApoDumb für immer dort bliebe."
15,Ich frag mich wieviel Geld der dafür bekommen hat 
16,Sehr geiles Video. Hat mich unterhalten 
17,ApoRed der alle echte Multimillionär mit Economyclass 
18,"Der main Charakter liefert wieder Content für die Goofys, die nur reagieren können."
19,Sehhhrr geiles schmackhaftes Video Bruder! Wir brauchen mehr davon
20,"Ehre an den Kenia-Dude, dass er Red in seinem Auto mitgenommen hat."
21,"Der Main Charakter ist da  wer soll da broke sein, der Bruda bringt content und die Reaktionäre drücken auf die Tränendrüse"
22,„Hier sind die Leute Menschen“ - und verarscht aber in Deutschland alle seine Fans! Nicht schlecht… 
23,"Sehr geil Bruder, ich wünsche Dir und deiner Familie das beste, möge Allah dich beschützen "
24,"Bin nicht der größte fan von dir, aber ich finds geil, dass du Katar zeigst ohne auf die ganzen Urteile zu achten"
25,"Nicht vergessen, lasst Katar in ruhe"
26,"Geiler vlog, die Gastarbeiter können den vlog ja vllt auch in deren 2 Minuten Pause gucken "
27,APORED Video geschaut und direkt 10 IQ Punkte dümmer geworden....
28,"Du und Haikel harmoniert so baba,Beste Kombi!!!️️Bitte mehr"
29,Ich sehe schon die ganzen goofy Streamer die scheiße labern werden...aber egal am Ende des Tages macht der Main Charakter sich nen schönen entspannten Urlaub in Katar auf leckerness&schmeckerness mit dem Haiki
30,Einfach der Allerechte Main Character siuuuuu
31,Kannst du mal zeigen wie der gewöhnliche altag so dort aussieht? Oder wie es wäre dorthin auszuwandern
32,Also red will doch gehast werden ein guter vlog aber in Qatar naja wäre er keine Ahnung nach Amerika oder keine Ahnung wohin geflogen könnte man sagen das es n guter Vlog ist aber das ist es nicht!!! Red wenn du das List dann bist du n Goofy !!! Bitte mach einfach vlogs aber nicht aus qatar. Bitte gib mir einfach den 2015 ner Vibe wenigstens zurück z.B nachts in Trampolin Halle einbrechen etc irgendetwas früher hat’s doch auch geklappt 
33,"Wirklich sehr unterhaltsamer Hase, gerne mehr davon "
34,Hat ihm natürlich nicht Katar bezahlt weil Katar hat ja nicht einige influencer angeschrieben wegen Kooperation und schönredungen wo keine sein sollten und wer würde da niemals nein Sagen apored natürlich
35,Ich hoffe du bist auch im stadion! 
36,Agentur für Arbeit freut sich mal gucken was die dazu sagen
37,1 Tag mit red zu chillen wäre mein größter Traum
38,NoCap vergesse einfach den ganzen kack um ihn und gucke mir den Vlog entspannt an und gibt mir Oldschool Vibes. Red bester Mann
39,Der Millionär der sich eine Pizza teilen muss
40,ich staune das er sich nich vor die autos stellt und sagt ... alles meine ;) ;)=)
41,Man darf aber nicht vergessen dass er millionär ist
42,Wo kauft Red seine Medikamente?
43,Apored wieder im Modus ️
44,"Zum Anfang: vertraut ihm nicht. Wenn ihr Apo Red vertraut, ihr seid solche Goofys"
45,Der main Character in Katar 
46,Super Material für mimi wieder am Start
47,20:14 und warum pennt ihr dann zu zweit in einem Zimmer das nach Jugendherberge aussieht?
48,Neuer Haarschnitt sieht sieht nice aus dafür dass das Tranplantierte Haare sind
49,ReiseVlogs stehen dir 
50,Zwar keine Sparflamme beim fliegen aber bei den Kopfhörern 
51,Man merkt sxhon das er nichts mehr hat!! Nicht schlimm wenn er es zugeben würde..
52,Reds Intelligenz ist auf dem Niveau vom Drachenlord... wahrscheinlich sein Narzissmus und seine Moral auch.
53,Mc zu den Laren  
54,Das war ein heftiger vlog
55,"Eigentlich sollte ein Trip nach Katar, die Interesse des Insolvenzverwalter wecken "
56,er hat noch kabel kopfhörer
57,No front aber ich weiß nicht warum aber irgendwie find ichs immer cringe wenn ich draußen jemanden sehe der sich selbst filmt und laut in der Öffentlichkeit redet 
58,War klar dass die unterste Schicht von YouTube sich von Katar kaufen lässt
59,Haha wie viel Kredit hast du dafür aufgenommen 
60,Junge Apored lass Katar in Ruhe. Du beschmutzt deren Image
61,Bleib einfach da
