,comment
0,"DE
Navigation überspringen
Anmelden
Der „Brückenbauer“ im #Team221 – der WAGO Brücker der Serie 221
WAGO Team 221
www.wago.com/de/lp-aufstellung-221
Mehr infos
Anzeige 1 von 2 ·
0:59
wago.com/de/lp-aufstellung-221
5
0:00 / 0:59
A New Way to Achieve Nuclear Fusion: Helion
Real Engineering
3,72 Mio. Abonnenten
Abonnieren
31.079
Teilen
262.030 Aufrufe  vor 6 Stunden
Get the CuriosityStream x Nebula bundle deal for just 11.59 https://curiositystream.com/realengin... 

Watch this video ad free on Nebula: https://nebula.tv/videos/realengineer... …
Mehr ansehen
2.581 Kommentare
Sortieren nach
Kommentar hinzufügen…
Von Real Engineering angepinnt
Real Engineering
vor 5 Stunden
Here are the two full length interviews with David Kirtley. Available exclusively on Nebula: 
https://nebula.tv/videos/realengineering-helion-bts-david-kirtley-interview 

https://nebula.tv/videos/realengineering-helion-bts-trenta-walking-tour
224
Antworten
30 Antworten
ThrustersX
vor 6 Stunden
I'm just as amazed by the cable management outside the nuclear reactor.
3512
Antworten
58 Antworten
Nate Sanders
vor 3 Stunden
This is a unique riff on the “Pinch” machine that the British experimented with in the very early days of nuclear fusion research (cir. 1948-50). The kinetic acceleration of the mirrored plasma is the unique part before using the magnetic pulse to compress the plasma in the final step. Also, their approach of trying to harness the excess magnetic energy to turn a generator is very unique as well. Hopefully the additional energy they will need to do their D - H3 reaction won’t be an insurmountable scaling problem. All I can say is good luck, hope they can make it work.
Mehr anzeigen
204
Antworten
5 Antworten
Jesse_Mang
vor 4 Stunden
This looks very promising, considering how jaded I am with these private projects, this looks too promising. That said the CEO seems like he knows his sh*t though, has some PhDs in hard science and engineering so it may not be vaporware. It got funding from NASA years back and published peer-review studies of its operation and got independent auditors to check the legitimacy so it seems it has some firm ground with further development. Even with all that, gotta remain cautious
Mehr anzeigen
170
Antworten
8 Antworten
257 Shooter
vor 1 Stunde
I really enjoyed the documentary. I retired from Helion in July of 2021, now I can show my family what I did for a living. I worked on FRC plasma machines for 35 years altogether. It’s good to see all the hard work come to fruition at Helion. My one disappointment with the footage is you didn’t show much of the puff fill system. That was my big contribution. I imagine I’m the only one that would get a thrill from a bunch of valves and stainless steel tubing.
Mehr anzeigen
155
Antworten
9 Antworten
Hugh Dalrymple
vor 2 Stunden
I can't believe how small this machine is compared to the other fusion projects that are in development! 
this sounds extremely promosing and way further along than I thought possible right now! This is really exciting!
25
Antworten
David Hughes
vor 3 Stunden
I like the step away from using fusion as a way to generate heat to boil water to make steam to run a mechanical turbine. That alone is great but the overall design is great to see. And the fuelling of it too lots of forward about the fuel itself. It will be exciting to see future progress.
19
Antworten
Ryan O'Nan
vor 5 Stunden (bearbeitet)
The current major failing of Helion is that they have yet to turn their device vertical and start referring to it as a warp core.
1582
Antworten
41 Antworten
ashton parrish
vor 1 Stunde
Ive never seen something so unbelievably beyond my realm of possible understanding explained in such an incredibly understandable way. Awesome video
5
Antworten
Laurence
vor 1 Stunde
Seeing this is one of the first times something has made me feel like this technology would pan out in my lifetime. Truly incredible work, is there anywhere I can follow the progress of this project because damn this excites me! 
Mehr anzeigen
10
Antworten
1 Antwort
Hobo G
vor 3 Stunden
Tremendous work animating the new concepts!
8
Antworten
Derpy Hooves
vor 2 Stunden
I love this process of energy capture so much! Turbines are so last century and this feels like something you could actually put to good use in a spaceship.
15
Antworten
2 Antworten
Siddakid
vor 3 Stunden
Not only does this video teach and inspire the next generation of engineerings as per the channel's goals; but it also gives everyone watching, engineers of all ages and fields, hope for the future. By far my favorite video to date and there are a LOT of good ones. This really had me thinking I should go back to studing my PHYS 122 material for my final this Monday. That is the magic that you have created. Well done.
31
Antworten
1 Antwort
Rhphoenix5
vor 6 Stunden
The timing of these two videos were immaculate
2048
Antworten
47 Antworten
Storm Silvawalker
vor 2 Stunden
Their engineering is extremely impressive.

I'm super happy for you getting an exclusive opportunity like this and the technical details provided are fantastic!
Mehr anzeigen
5
Antworten
1 Antwort
Edgardo N
vor 1 Stunde
Using this idea of pulsed fusion, I imagine an implementation with a radial type topology with 3 pairs of accelerators and a single fusion chamber, totaling 6 accelerators, which would fire in opposite pairs to produce the collision of each plasma ring, thus In this way, shots would be produced in pairs in a synchronized manner towards the same camera, for example in a rotary synchronization, similar to an axial motor, giving a longer reset time to each group of electromagnets.
Mehr anzeigen
3
Antworten
Qetion
vor 4 Stunden
Did you run the numbers on this? Like what's the theoretical maximum energy you could get from this design accounting for all the losses in the system, what's the practical amount you could get given costs and other challenges, and how close are they really?
39
Antworten
6 Antworten
Matthew Bond
vor 2 Stunden
What a beautifuly elegant solution! Fantastic video, and interview. I love the description of the ""magnetic piston""!
3
Antworten
cabanford
vor 2 Stunden
Great to see all of the various fusion concepts get some love. Hopefully one of these will leapfrog the eternally always 20+ years away that currently rules the roost.
2
Antworten
coke
vor 4 Stunden
Thank you to all the scientists working on this night and day. This is truly one of the most important advancements in the 21st century.
421
Antworten
14 Antworten
karan turna
vor 3 Stunden
absolutely amazing work bro, very informative and well described
2
Antworten
_CJ_
vor 3 Stunden
Just... WOW! I'm going to watch those interview on nebula :O Thanks for sharing cost of such video like this one... I would never guess! By quality you surpassed classic tv documents and the way you share complex info is super easy to understand. Thanks for the video and for me new way to achieve fusion 
1
Antworten
Myles P
vor 3 Stunden
Great video! I like these features you're doing on companies like this.
1
Antworten
Andries Oelofse
vor 1 Stunde
Stories like this make me absolutely giddy to start working in my engineering career.

Thank you for making videos like this that inspire people to pursue engineering degrees where they can help make a difference.
Mehr anzeigen
Antworten
Austin Faust
vor 24 Minuten
I feel so lucky to live in a time where this information is not only readily available, but there are people like you out here breaking this information down into bite sized pieces that are easier to understand. Thank you for all the hard work you do.
Antworten
RetroSwede
vor 6 Stunden
honestly humbling to be able to see this level of technology in my lifetime. Hats off to the crew at Real Engineering!
858
Antworten
16 Antworten
Jason Jaramillo
vor 2 Stunden
David Kirtley and his team deserve recognition for their contributions to the engineering challenge of our times. Excellent video quality. Looking forward to the long interviews.
1
Antworten
VaTreeGuy
vor 3 Stunden
An absolutely incredible deep dive, and an excellent job breaking down some very high science into a digestible and entertaining video. I didn't understand the first clip of glass being heated on a torch until it was repeated towards the end of the video, where it was mentioned that the speed of light has to be accounted for in the timing of commands. Definitely going to have to watch it a second time, before checking out the interviews on Nebula.
Mehr anzeigen
6
Antworten
Dominic LoBue
vor 3 Stunden
This video and the one on spinlaunch are amazing and get me so excited for the future! I can't wait for more videos like these, and learn about these amazing companies and technologies I've never heard of before!
7
Antworten
Starstrike
vor 2 Stunden
Oh thank you so much! For a long time ever since I discovered actual theories and designs for direct energy conversion and aneutronic fusion, I have been just crossing my fingers and hoping someone smart enough got funding to do it!
Mehr anzeigen
Antworten
sinephase
vor 8 Minuten
pretty amazing stuff and sounds well worth all of the engineering going into it! :D
Antworten
Ryen
vor 6 Stunden
I can't imagine the theory of ""this should work on paper"" to actually going and building it and making fusion reactions. Mad genius scientists!
883
Antworten
22 Antworten
jkelleyrtp
vor 3 Stunden
Signed up for nebula 4k for the year. Great deal. Fantastic video. You're amazing.
1
Antworten
Oliver Clements
vor 4 Stunden (bearbeitet)
Fascinating video, can't add to what's already been said - except hats off to the fantastic music and sound design in this.
1
Antworten
VictorianMagnet
vor 1 Stunde
I’m not even two minutes in and everything he’s said has just excited me more about this. I was stoked when I heard about the recent fusion breakthrough, can’t wait to see where this tech goes.
Antworten
aslanthe1
vor 2 Stunden
Awesome video and great info in the extra interviews on nebula. 
Did you talk at all about the energy intensity of h3 creation? I'm really curious how that fits into the bigger picture.
Antworten
Bryce F
vor 2 Stunden (bearbeitet)
I look at stuff like this and think, ""Gosh, how do people get into this line of work and work for innovative teams like this. Does it take money, luck, knowing the right people?"" It's just crazy to think where people are and how they could have gotten there. What motivated them to get to where they are?
Mehr anzeigen
1
Antworten
1 Antwort
Helion
vor 5 Stunden
Thanks for visiting, Brian. As always, we appreciate your ability to breakdown complex engineering topics - including direct energy recovery from fusion!
615
Antworten
14 Antworten
HotaruHino
vor 3 Stunden
This is really neat! I always wondered why Tokamak and ICF is used to boil water instead of finding some way to capture the energy the fusion process releases. And Helion seemed to have figured out how to do just that
9
Antworten
2 Antworten
Tonko V
vor 1 Stunde
Cant thank you enough on the work you are doing!
Antworten
WAGO Team 221
Anzeige
www.wago.com/de/lp-aufstellung-221
Mehr infos
31:23
The Insane Engineering of James Webb Telescope
Real Engineering
7 Mio. Aufrufe vor 11 Monaten
22:06
The Insane Engineering of the Spitfire
Real Engineering
2,5 Mio. Aufrufe vor 2 Monaten
26:12
Wo ist die perfekte Energie? | 42 - Die Antwort auf fast alles | ARTE
ARTEde
382.727 Aufrufe vor 1 Monat
53:26
Auf den Spuren der Neandertaler | Doku Reupload | ARTE
ARTEde
526.755 Aufrufe vor 2 Wochen
29:43
Funkgeschichte in Deutschland Telefunken
Shortwave Bavaria
32.249 Aufrufe vor 3 Wochen
23:26
The Missing Link in Renewables
Real Engineering
2 Mio. Aufrufe vor 1 Jahr
26:57
The Insane Engineering of the Concorde
Real Engineering
1,4 Mio. Aufrufe vor 8 Monaten
32:34
Soldat trifft auf Linksjugend I Auf der Couch
ZDFheute Nachrichten
621.856 Aufrufe vor 5 Tagen
Neu
15:32
The Truth about Deep Sea Mining
Real Engineering
1,3 Mio. Aufrufe vor 3 Monaten
1:52:36
Viral: The Origin of Covid 19 | Matt Ridley | #310
Jordan B Peterson
1,8 Mio. Aufrufe vor 2 Wochen
42:14
Can We Throw Satellites to Space? - SpinLaunch
Real Engineering
2,3 Mio. Aufrufe vor 4 Monaten
22:29
The Battle of Actium (31 B.C.E.)
Historia Civilis
25.377 Aufrufe vor 2 Stunden
Neu
15:03
The Problem with the Next Moon Mission
Real Engineering
2,5 Mio. Aufrufe vor 5 Monaten
36:23
Israel-Palästina: Wasser-Not | ARTE Reportage
ARTEde
44.584 Aufrufe vor 4 Tagen
Neu
17:04
The Problem with Nuclear Fusion
Real Engineering
1,5 Mio. Aufrufe vor 6 Tagen
Neu
16:55
Why SpaceX is Using a New Fuel
Real Engineering
1,8 Mio. Aufrufe vor 6 Monaten
23:58
Building HUGE BRIDGES the engineering way! Poly Bridge 2!
Real Civil Engineer
1,1 Mio. Aufrufe vor 11 Monaten
19:35
How Carbon Nanotubes Will Change the World
Real Engineering
1,8 Mio. Aufrufe vor 1 Jahr
19:54
The Insane Engineering of the Parker Solar Probe
Real Engineering
2,2 Mio. Aufrufe vor 9 Monaten
23:09
SpaceX Starship Fire, Artemis 1 Orion Returns, HAKUTO-R Moon Lander, Falcon 9 SWOT, Ariane 5 launch
Marcus House
112.488 Aufrufe vor 10 Stunden
Neu
Black Pharaos: Sudans vergessene Pyramiden | Doku HD Reupload | ARTE
ARTEde
491.537 Aufrufe vor 6 Tagen
Neu
How Do Seatbelts Work?
Real Engineering
595.317 Aufrufe vor 4 Wochen
Schwarze Löcher – geht nicht, gibt's nicht? | Harald Lesch
Terra X Lesch & Co
759.098 Aufrufe vor 8 Monaten
The Economics of Nuclear Energy
Real Engineering
1,7 Mio. Aufrufe vor 2 Jahren
46:20
Submarines – Extreme Technology – Big Bigger Biggest
Element 18
2,8 Mio. Aufrufe vor 6 Monaten
13:26
The Insane Engineering of the DART Mission
Real Engineering
426.518 Aufrufe vor 1 Monat
1:29:26
Rom - Untergang einer Weltmacht | Doku HD | ARTE
ARTEde
1,4 Mio. Aufrufe vor 3 Wochen
13:41
Has Russia’s War Doomed The International Space Station?
Real Engineering
1,1 Mio. Aufrufe vor 8 Monaten
10:32
I Made a Game with ChatGPT...
BenBonk
129.138 Aufrufe vor 4 Tagen
Neu
13:47
WE DID NUCLEAR FUSION
Cleo Abram
238.777 Aufrufe vor 5 Tagen
Neu
19:48
Can a Tesla Valve stop a MEGA TSUNAMI in Cities Skylines?
Real Civil Engineer
3,4 Mio. Aufrufe vor 3 Monaten
15:34
How To Measure The Tiniest Forces In The Universe
Veritasium
2,6 Mio. Aufrufe vor 5 Tagen
Neu
17:46
Will Boom Bring Supersonic Back?
Real Engineering
712.940 Aufrufe vor 1 Jahr
14:24
Can Underwater Turbines Solve Our Energy Problems?
Real Engineering
1,9 Mio. Aufrufe vor 3 Jahren
1:55:09
🔴 Wieso ist es so schwer Krebs zu heilen? Stellt eure Fragen live den Forschenden!
Breaking Lab
38.908 Aufrufe vor 2 Wochen gestreamt
10:34
John Bolton: If Trump Were Still President, The Russians Would Be In Kyiv
MSNBC
177.646 Aufrufe vor 4 Stunden
Neu
35:26
Wie der Winter den Ukraine-Krieg beeinflusst | Militärexperte bei ZDFheute live
ZDFheute Nachrichten
326.613 Aufrufe vor 10 Tagen gestreamt
44:19
Is This a New Kind of Physics? - with Harry Cliff, Paula Alvarez Cartelle and Ben Allanach
The Royal Institution
398.780 Aufrufe vor 1 Jahr
52:48
Sonnenenergie einfach erklärt | Welt der Zukunft | Doku
BILD
7533 Aufrufe vor 7 Tagen
7:37
John Bolton: Donald Trump Has No Philosophy. 'It’s Performance Art.'
MSNBC
25.415 Aufrufe vor 4 Stunden
Neu"
1,
2,
3,"Here are the two full length interviews with David Kirtley. Available exclusively on Nebula: 
https://nebula.tv/videos/realengineering-helion-bts-david-kirtley-interview 

https://nebula.tv/videos/realengineering-helion-bts-trenta-walking-tour"
4,I'm just as amazed by the cable management outside the nuclear reactor.
5,"This is a unique riff on the “Pinch” machine that the British experimented with in the very early days of nuclear fusion research (cir. 1948-50). The kinetic acceleration of the mirrored plasma is the unique part before using the magnetic pulse to compress the plasma in the final step. Also, their approach of trying to harness the excess magnetic energy to turn a generator is very unique as well. Hopefully the additional energy they will need to do their D - H3 reaction won’t be an insurmountable scaling problem. All I can say is good luck, hope they can make it work."
6,"This looks very promising, considering how jaded I am with these private projects, this looks too promising. That said the CEO seems like he knows his sh*t though, has some PhDs in hard science and engineering so it may not be vaporware. It got funding from NASA years back and published peer-review studies of its operation and got independent auditors to check the legitimacy so it seems it has some firm ground with further development. Even with all that, gotta remain cautious"
7,"I really enjoyed the documentary. I retired from Helion in July of 2021, now I can show my family what I did for a living. I worked on FRC plasma machines for 35 years altogether. It’s good to see all the hard work come to fruition at Helion. My one disappointment with the footage is you didn’t show much of the puff fill system. That was my big contribution. I imagine I’m the only one that would get a thrill from a bunch of valves and stainless steel tubing."
8,"I can't believe how small this machine is compared to the other fusion projects that are in development! 
this sounds extremely promosing and way further along than I thought possible right now! This is really exciting!"
9,I like the step away from using fusion as a way to generate heat to boil water to make steam to run a mechanical turbine. That alone is great but the overall design is great to see. And the fuelling of it too lots of forward about the fuel itself. It will be exciting to see future progress.
