,comment
3,"Vielen Dank für diese Doku! Ich beschäftige mich sehr viel mit dem Thema und freue mich, wenn es allgemein mehr in den Fokus rückt, dass wir zyklische Wesen sind und das einfach unsere Natur ist und wir danach leben sollten, um in unsere volle Kraft zu kommen. Da steckt so viel Power drin, wenn wir mit unseren Zyklus Phasen gehen. Die Leistungsfähigkeit bezieht sich nicht nur auf den Sport, sondern auf die Arbeit und das Alltagsleben. Ich wünsche mir eine Gesellschaft, die das berücksichtigt und Arbeiten nach diesem Prinzip möglich wird. "
4,"Weiß der Teufel wie ich das Video empfohlen bekommen habe aber das Video ist auch für Männer spannend :D. Sehr interessantes Video und schade, dass solche normalem Dinge immer noch Tabuthemen sind. Lets Go Wissenschaft :D."
5,"Toller Beitrag! Der Hormonhaushalt sollte mehr thematisiert werden, da er so einen großen Einfluss auf das Leben hat! Das Video hat mir auch sehr weitergeholfen, da ich mit „normalen“ Trainingsplänen nicht ganz zurecht komme."
6,"Der Beitrag ist Spitze! Ich habe mich persönlich schon seit einiger Zeit mit meinem Zyklus befasst, aber Dinge wie, was man zu welcher Phase essen sollte, waren mir dann doch neu.
Und zur selben Zeit bin ich mega frustriert und einfach müde. Diese Informationen sind so unglaublich wichtig für alle. Auch für nicht Leistungssportler."
7,"Sehr interessanter Beitrag! Ich merke zwar schon länger, dass mir Sport in bestimmten Zyklusphasen schwerer fällt, dachte aber immer ich musste eben einfach die Zähne zusammen beißen und weiter machen. Dieser Beitrag hat mir geholfen meinen Körper besser zu verstehen :)"
8,"Tolles Thema, vielen Dank  
Wir Mädels sollten stolz darauf sein, wie wir sind 
Ich freue mich jedes Mal über meinen Zyklus, einen besseren Indikator für Gesundheit gibt es fast nicht 
Immer schön offen damit umgehen "
9,"Toller Beitrag! :-) Könnt ihr auch mal zu dem gleichen Thema einen Beitrag im Hinblick auf Studium machen? Ich merke es stark bei mir, dass ich je nach Zyklushälfte leistungsfähiger oder total leistungsschwach bin. Insbesondere wenn bestimmte wichtige Prüfungen in einer ungünstigen Zyklusphasen fallen, ist es besonders anstrengend.."
10,"Sehr interessanter Beitrag. Bringt mich auf jeden Fall dazu meine eigenen Gewohnheiten genau unter die Lupe zu nehmen. Ich frage mich allerdings, wie die Sportlerinnen mit dieser Erkenntnis mit Wettkampfterminen umgehen: Ist ja nicht machbar, nur noch in bestimmten Zyklusphasen anzutreten. Und wie sieht's mit Team-Sport aus? Da wirds mit gemeinsamen Trainings ja echt schwierig..."
11,"Sehr wichtiges Thema, dass speziell von Trainern viel mehr berücksichtigt werden sollte (egal welche Sportart).
Danke für den informativen Beitrag "
12,"Guter Beitrag, hormonelle Veränderungen sind so enorm entscheidend für körperliche Leistungsfähigkeit und Körperfunktion. Warum sollten wir dies beim leistungsorientierten Training vernachlässigen. Wieder was gelernt!"
13,"Tolles Video! Ich war immer wütend auf meinen Körper, wenn ich mich, wie ich dachte, grundlos schlapp fühlte. Großartiges Forschungsprojekt!"
14,"Toll, dass die beiden das Thema aufgreifen und auch noch wissenschaftlich fundiert angehen. Weiter so! Danke für's Ausstrahlen. Laura Philip, die Triathletin macht da auch gutes ""Lobbying"". Weiter so, meine Damen!"
15,"Super Beitrag, sehr informativ! Ich konnte viel für mein eigenes Training mitnehmen ;)"
16,"Vielen vielen Dank für diese Reportage!!! Sie ist glaube ich ein echter Gamechanger für Frauen die gerne Sport machen und das sehen. Für mich aufjedenfall! Jetzt weiß ich endlich, wie für meinen Körper richtig trainieren kann"
17,Super interessanter Beitrag bin selber Fitnessökonom und das ist wirklich ein Themenbereich den man bessert durchleuchten muss! 
18,"Danke, dass ihr dieses informative Video gemacht habt! Bin sehr überrascht, dass die Frauen im Umkreis der Redakteurin und der Sportlerin/Bioinformatikerin nicht miteinander über den Zyklus sprechen wollen. In meinem eigenen Umfeld habe ich andere Erfahrungen gemacht, da wird offener mit dem Thema umgegangen."
19,"Ich bin auch ganz dankbar, das dieses Thema Aufmerksamkeit bekommt. Ich fühle mich da schon lange alleingelassen und es ist schwer Informationen zu bekommen. Mehr davon!"
20,"Dies ist meiner Meinung nach ein sehr guter Beitrag auf Frauenzyklus genau hinzusehen und dann dem entsprechend handeln zu können.
Jetzt würde mich das auch noch interessieren wie verändert sich das mit und nach den Wechseljahren. Wäre spannend."
21,"ich kann mir gut vorstellen dass mit der ernährung auch die allgemein akzeptierten regelschmerzen sich senken lassen könnten. ich spüre selbst, dass mal ein monat echt schlimm sein kann und ein anderer voll easy. toller beitrag!"
22,"Sehr gute Doku! Ich bin immer froh wenn jemand die Probleme löst für die mir meine Zeit zu schade ist.
Jetzt weiss ich wenigstens warum es schlau war auf mein Bauchgefühl zu achten und nicht nur einfach gemieden habe was sich nicht gut anfühlte."
23,"Mega interessant, ich hoffe das wird weiter erforscht "
24,"Ich kann meinen Dank hier nicht genug ausdrücken!!! DANKE! Ich habe jetzt mit 23 regelmäßig mit Sport angefangen vor nem halben Jahr und mir geht es super. Habe allerdings jetzt das erste mal seit 1Jahr meine Periode wieder bekommen- die war davor auch 1 Jahr nicht da, seit ich die Pille abgesetzt habe. Frauenärztin meinte ich habe einen verlangsamten Zyklus und das könnte ja auch an der Pille liegen. Komisch, Tests wurden keine gemacht. Ich habe mir instinktiv schon Sorgen zwecks schwanger werden und Unfruchtbarkeit gemacht. Werde das nochmal bei einem kompetenteren Kollegen überprüfen lassen. Gut, jetzt weiß ich, dass ich währen der Menstruation lieber kein Kraftsport mache! Gut dass ich beim Stretching war! Ich glaube diese Informationen sind so essenziel WICHTIG, das sollte jedes Mädchen lernen, bevor oder spätestens wenn es seine Periode bekommt. Ich wusste das alles nicht. Weder das mit den Zyklusphasen, noch den Rest. Ich werde mir dieses Video wohl öfter anschauen und Notizen machen :D Vielen Dank nochmal! Weiter so!"
25,"Super Beitrag, sehr motivierend!"
26,"1000 x Danke! Der Beitrag beantwortet einfach soooo viele Fragen, die mir bisher keiner (auch meine Gyn) besser als ""ganz grob und vage"" beantworten konnte, über die ich mir aber schon so viele Gedanken gemacht habe, weil ich es selbst an mir sehr intensiv beobachten kann."
27,"Hab richtig Lust bekommen auch so einen Testdurchlauf zu machen.  Hab dieses Jahr den Halbmarathon gemacht und wollte schon meinen ersten Trail-Run mit Halb-Marathonlänge angehen, aber leider kippt bei mir alles super schnell in eine Eisenmangel-Anämie - dazu kommt, dass ich Endometriose-des-Todes habe.  "
28,"Wäre noch mal interessant, das jetzt spezifisch für Kraftsportlerinnen zu testen.
Ich gehe jede Woche 3-4 Mal ins Krafttraining, egal in welcher Phase ich meinen Zyklus habe... sollte ich das ändern?"
29,Vielen Dank für den Beitrag! Hilft wirklich enorm weiter!
30,"Sehr schöner und wertvoller Beitrag!
Uralte Lehren wie der Ayurveda wissen das seit tausenden von Jahren, doch in unserer Leistungsgesellschaft braucht es wissenschaftliche Unterbauung, damit es wirklich ernst genommen wird m"
31,"Cooler Beitrag und informativ. Werde mich auf jeden Fall weiter informieren. Ne wichtige Frage hätte ich aber:
Wie schaut es denn nach einer Geburt aus? Bei einer vollstillenden Mama kommt ja noch das Hormon Prolaktin hinzu, was wiederum die Periode ausfallen lässt, zumindest bis man mit Beikost für das Baby anfängt. Und es dauert ja auch wieder seine Zeit bis sich der Zyklus wieder einstellt. Wie sollte man in dieser Phase am besten Sport treiben und sich ernähren?"
32,"Ich finde solche Reportagen mega interessant, auch als Mann. Ihr weckt damit die Faszination zum Sport im allgemeinen; und das ist es doch worauf es ankommt. Auf den Spaß und die Leidenschaft dabei. Weiter so liebe Redaktion "
33,Endlich kommt dieses spezifische Thema mal zur Sprache! Großartig!
34,"Tolles Video, ich würde mir noch ein Video im Bezug auf Krafttraining wünschen. Wie strukturiert man sein Training um mit dem Zyklus zu trainieren?"
35,"Finde das Experiment fraglich, weil mehrerer Faktoren geändert worden sind. Z.B: Woher will man wissen ob ihr vorher beim morgendlichen Training nur schlecht geworden ist, weil sie nicht ausreichend gegessen hat (sagt sie selbst bei ~25 min)? Ob das jetzt etwas mit dem Zyklus zutun hat, wird mir daraus nicht ersichtlich"
